Predicted XUV Line Intensities
CHIANTI database - Version 10.0.1
Calculated with Constant density=  1.00e+08 (cm-3) 
165.0 to 295.0 Angstroms
Number of lines:  4124
Minimum intensity =    2.4893286e-06
Units are:  erg cm-2 sr-1 s-1
Calculated: 13/May/22 14:39:16

Ionization Fractions file: chianti.ioneq
ionization equilibrium:  CHIANTI
 produced as part of the CHIANTI atomic data base collaboration
  Created on Fri Oct  9 11:46:20 2020

 Elemental Abundance file: sun_coronal_1992_feldman_ext.abund
elemental abundances: Feldman, U., Mandelbaum, P., Seely, J.L., Doschek, G.A., Gursky H., 1992, ApJSS, 81, 387
Potassium abundance: Landi, Feldman and Dere 2002, ApJ, 139, 281
 Li,Be,B,F,P,Cl,Sc,Ti,V,Cr,Mn,Co,Cu and Zn abundances: Grevesse N., Sauval A.J., 1998, Space Science 
          Reviews, 85, 161 (photospheric values) with low-FIP elements increased by a factor 3.5
 produced for the CHIANTI atomic database by Enrico Landi, Jun 2002
comment:
    Filename changed, Peter Young 27-Jun-2012 (previous name: sun\_coronal\_ext.abund)
Minimum abundance =   1.38038e-07

Differential Emission Measure file: coronal_hole.dem
filename: coronal\_hole.dem
dem: produced by chianti\_dem.pro 
 Comment: the DEM was derived using the Vernazza \& Reeves 1978 ApJSS, 37, 485 average coronal hole,
           the sun\_coronal.abund file and a constant pressure of 3.00e+15 cm-3 K.
 produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
   K.P.Dere  - Aug 2002

Wavelength (A) Intensity  Ion        Tmax  Transition 
167.2266     3.71e-04 C V           5.90   1s.2s 1S0 - 1s.5p 1P1
167.2280     1.04e-04 Ar VII        5.60   3s 3p 3P1 - 3p 4p 3P2
167.3020     7.45e-05 Fe X          5.95   3s2 3p4 3d 2P3/2 - 3s2 3p4 4p 2F5/2
167.3280     1.13e-04 Ni XIII       6.10   3s2.3p4 1D2 - 3s2.3p3(4S).3d 3D2
167.3892     2.02e-04 C V           5.90   1s.2p 3P1 - 1s.5d 3D2
167.3892     6.70e-05 C V           5.90   1s.2p 3P1 - 1s.5d 3D1
167.3929     8.95e-05 C V           5.90   1s.2p 3P0 - 1s.5d 3D1
167.3960     1.32e-05 Ar VII        5.60   3p2 3P0 - 3p 5s 3P1
167.4262     3.93e-04 C V           5.90   1s.2p 3P2 - 1s.5d 3D3
167.4273     4.48e-06 C V           5.90   1s.2p 3P2 - 1s.5d 3D1
167.4273     6.72e-05 C V           5.90   1s.2p 3P2 - 1s.5d 3D2
167.4510     6.63e-04 Ca IX         5.80   3p2 3P2 - 3p 4s 3P1
167.4750     2.53e-01 Ne V          5.55   2s2 2p2 3P1 - 2s2 2p 3s 3P2
167.4860     3.88e+01 Fe VIII       5.75   3s2 3p6 3d 2D3/2 - 3s2 3p5 3d2 2D3/2
167.5610     9.90e-05 O IV          5.35   2s2 2p 2P1/2 - 2s 2p 4f 2D3/2
167.6110     1.98e-01 Ne V          5.55   2s2 2p2 3P0 - 2s2 2p 3s 3P1
167.6450     2.00e-05 Ca XI         6.00   2s2 2p5 3d 1D2 - 2s2 2p5 4p 3D1
167.6480     2.70e-04 Ar VII        5.60   3p2 3P2 - 3p 5s 3P2
167.6540     3.47e+00 Fe VIII       5.75   3s2 3p6 3d 2D3/2 - 3s2 3p5 3d2 2D5/2
167.6600     9.80e-06 Ar VII        5.60   3p2 3P1 - 3p 5s 3P1
167.6690     2.64e-05 O IV          5.35   2s2 2p 2P3/2 - 2s 2p 4f 2D3/2
167.6710     7.58e-01 Ne V          5.55   2s2 2p2 3P2 - 2s2 2p 3s 3P2
167.7010     4.39e-04 Ar VII        5.60   3s 3p 3P2 - 3p 4p 3P2
167.7090     1.94e-04 O IV          5.35   2s2 2p 2P3/2 - 2s 2p 4f 2D5/2
167.7270     1.48e-01 Ne V          5.55   2s2 2p2 3P1 - 2s2 2p 3s 3P1
167.7590     6.84e-05 Ar VII        5.60   3p2 3P1 - 3p 5s 3P0
167.8330     1.92e-01 Ne V          5.55   2s2 2p2 3P1 - 2s2 2p 3s 3P0
167.8750     1.54e-04 K VIII        5.75   3s 3d 3D1 - 3s 5f 3F2
167.8970     2.19e-04 K VIII        5.75   3s 3d 3D2 - 3s 5f 3F3
167.8970     2.86e-05 K VIII        5.75   3s 3d 3D2 - 3s 5f 3F2
167.9060     2.05e-05 Ar IX         5.95   2s2 2p5 3p 1D2 - 2s 2p6 3p 1P1
167.9240     2.49e-01 Ne V          5.55   2s2 2p2 3P2 - 2s2 2p 3s 3P1
167.9340     2.73e-05 K VIII        5.75   3s 3d 3D3 - 3s 5f 3F3
167.9340     3.75e-04 K VIII        5.75   3s 3d 3D3 - 3s 5f 3F4
167.9560     4.35e-06 Fe X          5.95   3s2 3p4 3d 4F5/2 - 3s2 3p4 4s 4P5/2
167.9880     3.55e-01 O V           5.45   2s 2p 3P2 - 2p 3p 3D3
167.9910     1.08e-01 O V           5.45   2s 2p 3P1 - 2p 3p 3D2
168.0030     3.18e+00 Fe VIII       5.75   3s2 3p6 3d 2D5/2 - 3s2 3p5 3d2 2D3/2
168.0080     3.59e-02 O V           5.45   2s 2p 3P0 - 2p 3p 3D1
168.0240     2.78e+00 Fe VIII       5.75   3s2 3p6 3d 2D3/2 - 3s2 3p5 3d2 2P3/2
168.0420     1.66e-04 Ar VII        5.60   3s 3p 3P0 - 3p 4p 3S1
168.0470     2.61e-02 O V           5.45   2s 2p 3P1 - 2p 3p 3D1
168.0780     3.40e-02 O V           5.45   2s 2p 3P2 - 2p 3p 3D2
168.1200     2.95e-04 Ni XIV        6.15   3s2.3p3 4S3/2 - 3s2.3p2(3P).3d 2P1/2
168.1340     1.67e-03 O V           5.45   2s 2p 3P2 - 2p 3p 3D1
168.1490     1.51e-05 Ar IX         5.95   2s2 2p5 3p 3P1 - 2s 2p6 3p 1P1
168.1630     1.40e-05 Ar VII        5.60   3p2 3P2 - 3p 5s 3P1
168.1720     5.74e+01 Fe VIII       5.75   3s2 3p6 3d 2D5/2 - 3s2 3p5 3d2 2D5/2
168.1980     4.20e-03 O IV          5.35   2s2 2p 2P1/2 - 2p2 3s 2P3/2
168.2540     7.87e-03 O IV          5.35   2s2 2p 2P1/2 - 2p2 3s 2P1/2
168.2700     4.61e-04 Ar VII        5.60   3s 3p 3P1 - 3p 4p 3S1
168.3070     1.97e-02 O IV          5.35   2s2 2p 2P3/2 - 2p2 3s 2P3/2
168.3220     3.80e-06 Fe X          5.95   3s2 3p4 3d 2P3/2 - 3s2 3p4 4s 4P5/2
