Predicted XUV Line Intensities
CHIANTI database - Version 10.0.1
Calculated with Constant density=  1.00e+09 (cm-3) 
170.1 to 290.0 Angstroms
Number of lines:  2908
Minimum intensity =        192187.02
Units are:  photons cm-2 sr-1 s-1
Calculated: 04/Nov/21 16:07:40

Ionization Fractions file: chianti.ioneq
ionization equilibrium:  CHIANTI
 produced as part of the CHIANTI atomic data base collaboration
  Created on Fri Oct  9 11:46:20 2020

 Elemental Abundance file: sun_coronal_1992_feldman_ext.abund
elemental abundances: Feldman, U., Mandelbaum, P., Seely, J.L., Doschek, G.A., Gursky H., 1992, ApJSS, 81, 387
Potassium abundance: Landi, Feldman and Dere 2002, ApJ, 139, 281
 Li,Be,B,F,P,Cl,Sc,Ti,V,Cr,Mn,Co,Cu and Zn abundances: Grevesse N., Sauval A.J., 1998, Space Science 
          Reviews, 85, 161 (photospheric values) with low-FIP elements increased by a factor 3.5
 produced for the CHIANTI atomic database by Enrico Landi, Jun 2002
comment:
    Filename changed, Peter Young 27-Jun-2012 (previous name: sun\_coronal\_ext.abund)
Minimum abundance =   2.81838e-07

Differential Emission Measure file: coronal_hole.dem
filename: coronal\_hole.dem
dem: produced by chianti\_dem.pro 
 Comment: the DEM was derived using the Vernazza \& Reeves 1978 ApJSS, 37, 485 average coronal hole,
           the sun\_coronal.abund file and a constant pressure of 3.00e+15 cm-3 K.
 produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
   K.P.Dere  - Aug 2002

Wavelength (A) Intensity  Ion        Tmax  Transition 
175.2800     1.32e+06 S VII          5.8   2s2 2p5 3p 1S0 - 2s2 2p5 6d 1P1
175.3730     2.41e+06 Ne VI          5.7   2p3 2P1/2 - 2s2 4s 2S1/2
175.3860     4.83e+06 Ne VI          5.7   2p3 2P3/2 - 2s2 4s 2S1/2
175.4730     9.00e+07 Ne V           5.6   2s 2p3 3P2 - 2s 2p2 3s 3D3
175.4750     1.04e+10 Fe X           5.9   3s2 3p5 2P3/2 - 3s2 3p4 3d 2P1/2
175.5010     2.09e+08 Ar VII         5.6   3s2 1S0 - 3s 4p 1P1
175.6120     3.62e+05 Ca IX          5.8   3p 3d 3F3 - 3p 4f 3D2
176.0860     5.88e+06 Ca IX          5.8   3p 3d 1D2 - 3s 5d 1D2
176.0939     1.48e+07 C V            5.9   1s.2p 1P1 - 1s.5s 1S0
176.1050     2.04e+05 Ni XV          6.2   3s2 3p2 3P1 - 3s2 3p 3d 3D1
176.2970     2.11e+06 Ne V           5.6   2s2 2p2 1D2 - 2s2 2p 3s 3P2
176.3460     2.55e+09 Fe VII         5.7   3p6 3d2 3F3 - 3p5 3d3(4F) 3F4
176.5550     2.12e+08 Fe XI          6.0   3s2 3p4 3P2 - 3s2 3p3 3d 3D1
176.5760     8.13e+06 Ne V           5.6   2s2 2p2 1D2 - 2s2 2p 3s 3P1
176.5990     2.51e+09 Fe VII         5.7   3p6 3d2 3F2 - 3p5 3d3(4F) 3F3
176.6090     1.78e+08 Fe XI          6.0   3s2 3p4 3P1 - 3s2 3p3 3d 1D2
176.7020     6.77e+05 Na VI          5.8   2p4 1D2 - 2s 2p2 3p 1F3
176.7410     1.78e+06 Ni XV          6.2   3s2 3p2 3P0 - 3s2 3p 3d 3P1
176.7450     4.02e+10 Fe VII         5.7   3p6 3d2 3F4 - 3p5 3d3(4F) 3F4
176.9050     1.14e+10 Fe VII         5.7   3p6 3d2 3F2 - 3p5 3d3(4P) 3P2
176.9180     1.72e+08 Na VI          5.7   2s 2p3 1D2 - 2s2 2p 3p 1D2
176.9270     2.90e+10 Fe VII         5.7   3p6 3d2 3F3 - 3p5 3d3(4F) 3F3
176.9450     6.70e+10 Fe IX          5.8   3s2 3p5 3d 3F4 - 3s2 3p4 3d2 3D3
177.0280     2.29e+06 K VIII         5.8   3s 3p 1P1 - 3d2 1D2
177.0740     4.23e+05 Ca IX          5.8   3p 3d 3F3 - 3p 4f 3F4
177.1710     1.15e+10 Fe VII         5.7   3p6 3d2 3F2 - 3p5 3d3(4F) 3F2
177.1740     3.30e+06 Ar VII         5.6   3s2 1S0 - 3s 4p 3P1
177.2350     7.45e+08 Fe VII         5.7   3p6 3d2 3F3 - 3p5 3d3(4P) 3P2
177.2400     1.82e+11 Fe X           5.9   3s2 3p5 2P3/2 - 3s2 3p4 3d 2P3/2
177.3030     3.19e+05 Ni XII         6.0   3s2 3p5 2P3/2 - 3s2 3p4 3d 2F7/2
177.3100     2.83e+05 Fe XII         6.1   3s2 3p3 2D3/2 - 3s2 3p2 3d 2D3/2
177.3290     1.52e+09 Fe VII         5.7   3p6 3d2 3F4 - 3p5 3d3(4F) 3F3
177.5020     1.01e+09 Fe VII         5.7   3p6 3d2 3F3 - 3p5 3d3(4F) 3F2
177.5450     3.20e+07 S X            6.0   2s2.2p3 2D3/2 - 2s.2p4 2P1/2
177.5550     1.33e+09 Fe VII         5.7   3p6 3d2 1S0 - 3p5 3d3(b 2D) 1P1
177.5600     6.25e+05 Ni XIV         6.2   3s2.3p3 2D5/2 - 3s2.3p2(1S).3d 2D5/2
177.5920     3.52e+10 Fe IX          5.8   3s2 3p5 3d 3F3 - 3s2 3p4 3d2 3D2
177.7110     3.53e+05 Al X           6.1   2s 3d 3D1 - 2s 4f 3F2
177.7810     5.13e+05 Al X           6.1   2s 3d 3D2 - 2s 4f 3F3
177.8420     2.40e+06 Ca IX          5.8   3p 3d 3F4 - 3p 4f 3F4
177.8500     7.92e+05 Al X           6.1   2s 3d 3D3 - 2s 4f 3F4
177.8830     1.36e+06 Ni XIII        6.1   3s2.3p4 1D2 - 3s2.3p3(2D).3d 3P2
177.9470     1.29e+06 Ca IX          5.8   3p 3d 3F2 - 3p 4f 1F3
178.0480     1.98e+09 Fe IX          5.8   3s2 3p5 3d 3F3 - 3s2 3p4 3d2 3D3
178.0580     4.92e+09 Fe XI          6.0   3s2 3p4 3P2 - 3s2 3p3 3d 3D2
178.1570     6.49e+06 Fe VII         5.7   3p6 3d2 3F2 - 3p5 3d3(4P) 3P1
178.2110     8.92e+05 S VII          5.8   2s2 2p5 3p 1S0 - 2s2 2p5 6d 3D1
178.5740     2.64e+09 Ca IX          5.8   3s 3p 1P1 - 3s 4s 1S0
178.6360     2.16e+05 S VII          5.8   2s2 2p5 3p 1P1 - 2s2 2p5 5d 1P1
178.7150     1.38e+08 O V            5.4   2p2 1S0 - 2p 4d 1P1
178.7460     3.54e+05 Fe XII         6.1   3s2 3p3 2D5/2 - 3s2 3p2 3d 2D3/2
178.9510     1.08e+07 Ca IX          5.8   3p 3d 3F3 - 3p 4f 3G4
178.9510     3.18e+07 Ca IX          5.8   3p 3d 3F4 - 3p 4f 3G5
179.0040     2.29e+06 Al V           5.6   2s 2p6 2S1/2 - 2s2 2p4 3p 2P1/2
179.0230     5.26e+06 Al V           5.6   2s 2p6 2S1/2 - 2s2 2p4 3p 2P3/2
179.0250     2.07e+09 Fe IX          5.8   3s2 3p5 3d 3F2 - 3s2 3p4 3d2 3D2
179.1930     1.06e+06 S VII          5.8   2s2 2p5 3p 3D1 - 2s2 2p5 5d 3D1
179.2590     1.61e+07 Fe XII         6.1   3s2 3p3 2D5/2 - 3s2 3p2 3d 2D5/2
179.2730     3.31e+05 Ni XV          6.2   3s2 3p2 3P2 - 3s2 3p 3d 3D3
179.2830     2.54e+08 S IX           5.9   2s2.2p4 1D2 - 2s.2p5 1P1
179.3830     2.35e+07 Fe X           5.9   3s2 3p4 3d 2D5/2 - 3s2 3p4 4p 4D7/2
179.3920     5.61e+07 Ar VIII        5.8   3p 2P1/2 - 4d 2D3/2
179.4890     1.36e+07 Fe IX          5.8   3s2 3p5 3d 3F2 - 3s2 3p4 3d2 3D3
179.5360     5.96e+05 S VII          5.8   2s2 2p5 3p 3P0 - 2s2 2p5 5d 1P1
179.5460     2.12e+05 Na VI          5.7   2s 2p3 3S1 - 2s2 2p 3p 1D2
179.6560     4.75e+05 Fe VII         5.7   3p6 3d2 1S0 - 3p5 3d3(4P) 3S1
179.7200     1.27e+08 Fe VII         5.7   3p6 3d2 3F2 - 3p5 3d3(2G) 1F3
179.7360     2.38e+05 Ca IX          5.8   3p 3d 3F4 - 3p 4f 3G4
179.7580     5.66e+09 Fe XI          6.0   3s2 3p4 1D2 - 3s2 3p3 3d 1F3
179.8340     2.76e+05 Ar X           6.0   2s2.2p4(3P).3s 2P3/2 - 2s.2p5(3P).3s 2P3/2
180.0600     7.07e+08 Fe VII         5.7   3p6 3d2 3F3 - 3p5 3d3(2G) 1F3
180.0640     5.60e+05 S VII          5.8   2s2 2p5 3p 3P1 - 2s2 2p5 5d 1P1
180.0690     1.31e+09 Mg IV          5.4   2s2 2p5 2P3/2 - 2s2 2p4 3s 2P1/2
180.2410     1.03e+08 Ar VIII        5.8   3p 2P3/2 - 4d 2D5/2
180.2680     2.25e+06 Na VIII        5.9   2s 3p 1P1 - 2s 5d 1D2
180.2700     1.14e+07 Ar VIII        5.8   3p 2P3/2 - 4d 2D3/2
180.2950     2.16e+05 Ar IX          5.9   2s2 2p5 3p 3S1 - 2s2 2p5 4s 1P1
180.3000     3.94e+06 Fe XII         6.1   3s2 3p3 4S3/2 - 3s2 3p2 3d 2D5/2
180.3540     1.41e+08 O IV           5.3   2s2 2p 2P1/2 - 2s 2p 3p 2S1/2
180.3580     3.37e+07 S X            6.0   2s2.2p3 2D3/2 - 2s.2p4 2P3/2
180.3620     2.40e+05 K XII          6.1   2s2.2p4 3P1 - 2s.2p5 3P2
180.4010     9.24e+10 Fe XI          6.0   3s2 3p4 3P2 - 3s2 3p3 3d 3D3
180.4140     1.37e+06 Fe X           5.9   3s2 3p4 3d 2P3/2 - 3s2 3p4 4p 4P5/2
180.4410     2.72e+10 Fe X           5.9   3s2 3p5 2P1/2 - 3s2 3p4 3d 2P1/2
180.4650     3.84e+05 Ar VII         5.6   3p2 1S0 - 3p 5s 1P1
180.4760     4.24e+08 Fe VII         5.7   3p6 3d2 3F4 - 3p5 3d3(2G) 1F3
180.4800     2.77e+08 O IV           5.3   2s2 2p 2P3/2 - 2s 2p 3p 2S1/2
180.5940     4.52e+09 Fe XI          6.0   3s2 3p4 3P1 - 3s2 3p3 3d 3D1
180.5960     7.66e+06 Ca IX          5.8   3p 3d 1D2 - 3p 4f 1F3
180.6140     6.26e+09 Mg IV          5.4   2s2 2p5 2P3/2 - 2s2 2p4 3s 2P3/2
180.6370     4.11e+05 Ne V           5.6   2s 2p3 1D2 - 2s2 2p 4p 3P1
180.6394     7.56e+05 N VI           5.9   1s.2p 3P0 - 1s.3s 3S1
180.6420     2.27e+06 N VI           5.9   1s.2p 3P1 - 1s.3s 3S1
180.7330     2.01e+08 S X            6.0   2s2.2p3 2D5/2 - 2s.2p4 2P3/2
180.7370     3.78e+06 N VI           5.9   1s.2p 3P2 - 1s.3s 3S1
180.7600     8.65e+08 Fe VII         5.7   3p6 3d2 3F2 - 3p5 3d3(b 2D) 1D2
180.7950     2.53e+09 Mg IV          5.4   2s2 2p5 2P1/2 - 2s2 2p4 3s 2P1/2
180.9300     4.03e+06 Na VI          5.7   2s 2p3 3S1 - 2s2 2p 3p 3P2
181.1040     5.09e+08 Fe VII         5.7   3p6 3d2 3F3 - 3p5 3d3(b 2D) 1D2
181.1300     6.38e+09 Fe XI          6.0   3s2 3p4 3P0 - 3s2 3p3 3d 3D1
181.1620     2.20e+06 Na VI          5.7   2s 2p3 3S1 - 2s2 2p 3p 3P1
181.2670     8.46e+05 Ar IX          5.9   2s2 2p5 3p 3S1 - 2s2 2p5 4s 3P2
181.3010     3.52e+07 Fe VII         5.7   3p6 3d2 3F2 - 3p5 3d3(2F) 3D3
