Predicted XUV Line Intensities
CHIANTI database - Version 10.0.1
Calculated with Constant density=  1.00e+09 (cm-3) 
500.2 to 1599.9 Angstroms
Number of lines:  14289
Minimum intensity =    8.4748042e-06
Units are:  erg cm-2 sr-1 s-1
Calculated: 06/May/22 17:54:08

Ionization Fractions file: chianti.ioneq
ionization equilibrium:  CHIANTI
 produced as part of the CHIANTI atomic data base collaboration
  Created on Fri Oct  9 11:46:20 2020

 Elemental Abundance file: sun_coronal_1992_feldman_ext.abund
elemental abundances: Feldman, U., Mandelbaum, P., Seely, J.L., Doschek, G.A., Gursky H., 1992, ApJSS, 81, 387
Potassium abundance: Landi, Feldman and Dere 2002, ApJ, 139, 281
 Li,Be,B,F,P,Cl,Sc,Ti,V,Cr,Mn,Co,Cu and Zn abundances: Grevesse N., Sauval A.J., 1998, Space Science 
          Reviews, 85, 161 (photospheric values) with low-FIP elements increased by a factor 3.5
 produced for the CHIANTI atomic database by Enrico Landi, Jun 2002
comment:
    Filename changed, Peter Young 27-Jun-2012 (previous name: sun\_coronal\_ext.abund)
Minimum abundance =   1.38038e-07

Differential Emission Measure file: coronal_hole.dem
filename: coronal\_hole.dem
dem: produced by chianti\_dem.pro 
 Comment: the DEM was derived using the Vernazza \& Reeves 1978 ApJSS, 37, 485 average coronal hole,
           the sun\_coronal.abund file and a constant pressure of 3.00e+15 cm-3 K.
 produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
   K.P.Dere  - Aug 2002

Wavelength (A) Intensity  Ion        Tmax  Transition 
508.1790     1.77e-05 O V            5.4   2p 3d 3D2 - 2p 5p 3P1
508.1900     5.57e-04 N III          5.1   2s 2p2 2P3/2 - 2s 2p 3d 2P1/2
508.2890     6.06e-04 Ne V           5.6   2s2 2p 3p 3D2 - 2s2 2p 4d 3F2
508.3740     2.76e-03 N III          5.1   2s 2p2 2P3/2 - 2s 2p 3d 2P3/2
508.4840     8.33e-03 N II           4.7   2s2.2p2 3P1 - 2s2.2p.4s 3P2
508.4850     1.63e-02 Ne V           5.6   2s 2p3 1P1 - 2p4 1S0
508.5990     5.06e-04 Mg III         5.2   2s2 2p5 3s 1P1 - 2s2 2p5 7p 1S0
508.6680     6.43e-03 N II           4.7   2s2.2p2 3P0 - 2s2.2p.4s 3P1
508.6960     2.20e-05 Ne V           5.6   2s2 2p 3d 3F2 - 2s 2p2 3d 1D2
508.6970     2.47e-02 N II           4.7   2s2.2p2 3P2 - 2s2.2p.4s 3P2
508.7260     3.00e-04 S III          4.8   3s2.3p2 1D2 - 3s2.3p.4d 3P2
508.7940     4.78e-03 N II           4.7   2s2.2p2 3P1 - 2s2.2p.4s 3P1
508.8150     1.27e-05 Ar VII         5.6   3p 3d 3P1 - 3d2 3P2
508.8200     3.93e-03 Ne VI          5.7   2s2 3d 2D3/2 - 2s2 4f 2F5/2
508.9020     5.54e-04 Ne V           5.6   2s2 2p 3p 3D3 - 2s2 2p 4d 3F3
508.9280     6.42e-03 N II           4.7   2s2.2p2 3P1 - 2s2.2p.4s 3P0
509.0060     8.00e-03 N II           4.7   2s2.2p2 3P2 - 2s2.2p.4s 3P1
509.0170     2.81e-04 Ne VI          5.7   2s2 3d 2D5/2 - 2s2 4f 2F5/2
509.0170     5.81e-03 Ne VI          5.7   2s2 3d 2D5/2 - 2s2 4f 2F7/2
509.1390     1.56e-05 Ar VII         5.6   3p 3d 3P1 - 3d2 3P0
509.2790     8.72e-04 Ne V           5.6   2s2 2p 3p 3S1 - 2s2 2p 4d 3P1
509.2790     3.27e-04 Ne V           5.6   2s2 2p 3p 3S1 - 2s2 2p 4d 3P0
509.4210     2.40e-02 O V            5.4   2s 3d 1D2 - 2s 5f 1F3
