Predicted XUV Line Intensities
CHIANTI database - Version 10.0.1
Calculated with Constant density=  1.00e+10 (cm-3) 
500.2 to 1599.9 Angstroms
Number of lines:  14831
Minimum intensity =        259397.92
Units are:  photons cm-2 sr-1 s-1
Calculated: 12/Oct/21 20:15:29

Ionization Fractions file: chianti.ioneq
ionization equilibrium:  CHIANTI
 produced as part of the CHIANTI atomic data base collaboration
  Created on Fri Oct  9 11:46:20 2020

 Elemental Abundance file: sun_coronal_1992_feldman_ext.abund
elemental abundances: Feldman, U., Mandelbaum, P., Seely, J.L., Doschek, G.A., Gursky H., 1992, ApJSS, 81, 387
Potassium abundance: Landi, Feldman and Dere 2002, ApJ, 139, 281
 Li,Be,B,F,P,Cl,Sc,Ti,V,Cr,Mn,Co,Cu and Zn abundances: Grevesse N., Sauval A.J., 1998, Space Science 
          Reviews, 85, 161 (photospheric values) with low-FIP elements increased by a factor 3.5
 produced for the CHIANTI atomic database by Enrico Landi, Jun 2002
comment:
    Filename changed, Peter Young 27-Jun-2012 (previous name: sun\_coronal\_ext.abund)
Minimum abundance =   1.38038e-07

Differential Emission Measure file: coronal_hole.dem
filename: coronal\_hole.dem
dem: produced by chianti\_dem.pro 
 Comment: the DEM was derived using the Vernazza \& Reeves 1978 ApJSS, 37, 485 average coronal hole,
           the sun\_coronal.abund file and a constant pressure of 3.00e+15 cm-3 K.
 produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
   K.P.Dere  - Aug 2002

Wavelength (A) Intensity  Ion        Tmax  Transition 
509.2790     8.24e+06 Ne V           5.6   2s2 2p 3p 3S1 - 2s2 2p 4d 3P0
509.4210     6.05e+08 O V            5.4   2s 3d 1D2 - 2s 5f 1F3
509.5310     6.81e+07 Ca VII         5.7   3s2.3p2 1S0 - 3s.3p3 3S1
509.5790     3.79e+09 N III          5.0   2s 2p2 2D5/2 - 2s 2p 3s 2P3/2
509.5960     4.19e+08 N III          5.0   2s 2p2 2D3/2 - 2s 2p 3s 2P3/2
509.7310     2.12e+06 Fe VIII        5.8   3s2 3p6 4d 2D3/2 - 3s2 3p5 3d 4s 4F5/2
509.8900     2.08e+09 N III          5.0   2s 2p2 2D3/2 - 2s 2p 3s 2P1/2
509.8910     1.23e+07 N V            5.3   1s2.3p 2P1/2 - 1s2.5s 2S1/2
510.0420     2.10e+08 Fe XIII        6.1   3s2 3p2 3P2 - 3s 3p3 5S2
510.0790     1.94e+06 Si III         4.8   3s 3p 3P0 - 3p 4p 3S1
510.0890     2.45e+07 N V            5.3   1s2.3p 2P3/2 - 1s2.5s 2S1/2
510.3190     2.89e+07 Ne V           5.6   2s2 2p 3p 3S1 - 2s2 2p 4d 3P2
510.3800     1.70e+06 C III          5.0   2p2 3P1 - 2p 3d 3F2
510.3970     4.79e+05 O IV           5.3   2s2 3d 2D3/2 - 2p2 3p 2D3/2
510.4130     4.74e+06 Si III         4.8   3s 3p 3P1 - 3p 4p 3S1
510.4400     4.48e+06 C III          5.0   2p2 3P2 - 2p 3d 3F3
510.5040     5.19e+05 C III          5.0   2p2 3P2 - 2p 3d 3F2
510.5160     7.08e+05 O IV           5.3   2s2 3d 2D5/2 - 2p2 3p 2D5/2
510.6630     1.48e+06 Fe XI          6.0   3s2 3p3 3d 3F4 - 3s 3p4 3d 5F5
510.8110     3.74e+06 Ne V           5.6   2s2 2p 3d 1D2 - 2s 2p2 3d 1D2
511.0020     7.12e+05 Fe XIII        6.1   3s2 3p2 1S0 - 3s 3p3 3D1
511.0280     2.12e+06 S VI           5.7   4p 2P1/2 - 6d 2D3/2
511.0960     4.56e+06 Si III         4.8   3s 3p 3P2 - 3p 4p 3S1
511.1380     2.77e+07 Al III         4.6   3s 2S1/2 - 6p 2P3/2
511.1910     1.39e+07 Al III         4.6   3s 2S1/2 - 6p 2P1/2
