Predicted XUV Line Intensities
CHIANTI database - Version 9.0
Calculated with Constant density=  1.00e+08 (cm-3) 
670.5 to 730.0 Angstroms
Number of lines:  141
Minimum intensity =    1.0219675e+08
Units are:  photons cm-2 sr-1 s-1
Calculated: 10/Jun/21 15:55:07

Ionization Fractions file: chianti.ioneq
ionization equilibrium:  CHIANTI
 produced as part of the CHIANTI atomic data base collaboration
  Created on Thu Dec  7 13:00:33 2017

 Elemental Abundance file: sun_photospheric_2011_caffau.abund
created for the CHIANTI atomic database by Peter Young, 27-Jun-2012
abundance: Caffau, E., Ludwig, H.-G., Steffen, M., Freytag, B. \& Bonifacio, P. 2011, Sol. Phys. 
              268, 255  <bibcode="2011SoPh..268..255C">
            Lodders, K., Palme, H., \& Gail, H.P. 2009, Astronomy, Astrophysics, and Cosmology, B: 
              Solar System, Landolt-Bornstein, New Series VI/4, Spring, Berlin, 560 
              <bibcode="2009LanB...4B...44L">
comment:
   Caffau et al. (2011) provided new abundances for 12 elements, 8 of which have Z<31. Caffau et al.
   recommend combining these values with the abundances of Lodders et al. (2009), and so all other
   abundances are from this paper.
Minimum abundance =   4.16869e-08

Differential Emission Measure file: coronal_hole.dem
filename: coronal\_hole.dem
dem: produced by chianti\_dem.pro 
 Comment: the DEM was derived using the Vernazza \& Reeves 1978 ApJSS, 37, 485 average coronal hole,
           the sun\_coronal.abund file and a constant pressure of 3.00e+15 cm-3 K.
 produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
   K.P.Dere  - Aug 2002

Wavelength (A) Intensity  Ion        Tmax  Transition 
691.2250     1.00e+09 N III          4.9   2s 2p2 2D3/2 - 2s2 3p 2P3/2
691.3970     4.90e+09 N III          4.9   2s 2p2 2D3/2 - 2s2 3p 2P1/2
691.4200     2.26e+09 Ca IX          5.8   3s2 1S0 - 3s.3p 3P1
691.7060     2.44e+08 Al IX          5.9   2s2 2p 2P3/2 - 2s 2p2 4P5/2
692.5350     3.90e+08 S IV           5.1   3s.3p2 2P3/2 - 3s.3p(1P).3d 2P3/2
694.0060     1.41e+09 Mg IX          5.9   2s2 1S0 - 2s.2p 3P2
694.2610     3.46e+09 Na IX          5.9   2s 2S1/2 - 2p 2P1/2
694.6900     8.48e+08 Si IX          5.9   2s2.2p2 3P2 - 2s.2p3 5S2
695.8290     1.41e+08 Al III         4.6   3s 2S1/2 - 4p 2P3/2
696.6230     2.05e+10 S V            5.2   3s.3p 1P1 - 3s.3d 1D2
697.1560     8.61e+09 Fe VIII        5.8   3s2 3p6 4p 2P1/2 - 3s2 3p6 4d 2D3/2
698.7260     8.73e+09 S III          4.8   3s2.3p2 3P0 - 3s2.3p.3d 3P1
699.4060     5.99e+08 Ar IV          5.1   3s2.3p3 2P1/2 - 3s.3p4 2S1/2
700.1480     1.58e+10 S III          4.8   3s2.3p2 3P1 - 3s2.3p.3d 3P2
700.1860     5.38e+09 S III          4.8   3s2.3p2 3P1 - 3s2.3p.3d 3P1
700.2400     4.85e+10 Ar VIII        5.7   3s 2S1/2 - 3p 2P3/2
700.2740     1.19e+09 Ar IV          5.1   3s2.3p3 2P3/2 - 3s.3p4 2S1/2
700.2860     8.24e+09 S III          4.8   3s2.3p2 3P1 - 3s2.3p.3d 3P0
700.5760     1.20e+08 Fe III         4.6   3s2 3p6 3d6 3G5 - 3s2 3p6 3d5 4p 3G5
701.9020     9.87e+08 Si VI          5.8   2s2.2p4(3P).3s 2P3/2 - 2s2.2p4(1D).3p 2P3/2
702.1310     3.70e+09 O IV           5.3   2s2 3s 2S1/2 - 2s2 4p 2P3/2
702.3370     2.61e+11 O III          4.9   2s2.2p2 3P0 - 2s.2p3 3P1
702.3430     1.79e+09 O IV           5.3   2s2 3s 2S1/2 - 2s2 4p 2P1/2
702.7780     3.71e+10 S III          4.8   3s2.3p2 3P2 - 3s2.3p.3d 3P2
702.8170     9.63e+09 S III          4.8   3s2.3p2 3P2 - 3s2.3p.3d 3P1
702.8380     2.52e+11 O III          4.9   2s2.2p2 3P1 - 2s.2p3 3P0
702.8960     2.01e+11 O III          4.9   2s2.2p2 3P1 - 2s.2p3 3P1
702.9000     3.23e+11 O III          4.9   2s2.2p2 3P1 - 2s.2p3 3P2
703.7300     1.85e+08 Al IX          5.9   2s2 2p 2P3/2 - 2s 2p2 4P3/2
703.8500     3.26e+11 O III          4.9   2s2.2p2 3P2 - 2s.2p3 3P1
703.8540     9.91e+11 O III          4.9   2s2.2p2 3P2 - 2s.2p3 3P2
705.7660     2.93e+08 O III          5.0   2s.2p3 3P1 - 2p4 3P0
706.0600     1.19e+10 Mg IX          5.9   2s2 1S0 - 2s.2p 3P1
706.2330     4.03e+08 O III          5.0   2s.2p3 3P2 - 2p4 3P1
706.2370     2.24e+08 O III          5.0   2s.2p3 3P1 - 2p4 3P1
706.2950     3.09e+08 O III          5.0   2s.2p3 3P0 - 2p4 3P1
706.4700     4.08e+09 S VI           5.3   3p 2P1/2 - 3d 2D3/2
706.4850     4.93e+08 S IV           5.1   3s.3p2 2S1/2 - 3s.3p(3P).3d 2P1/2
707.3200     1.12e+09 O III          5.0   2s.2p3 3P2 - 2p4 3P2
707.3240     3.80e+08 O III          5.0   2s.2p3 3P1 - 2p4 3P2
707.3460     1.02e+09 S IV           5.1   3s.3p2 2S1/2 - 3s.3p(3P).3d 2P3/2
708.3950     1.04e+08 Si VI          5.8   2s2.2p4(3P).3s 2P1/2 - 2s2.2p4(1D).3p 2P1/2
710.9600     4.51e+10 S III          4.8   3s2.3p2 1D2 - 3s.3p3 1D2
712.6710     7.31e+09 S VI           5.3   3p 2P3/2 - 3d 2D5/2
712.8360     7.99e+08 S VI           5.3   3p 2P3/2 - 3d 2D3/2
713.8010     2.44e+10 Ar VIII        5.7   3s 2S1/2 - 3p 2P1/2
716.1430     1.06e+08 O V            5.4   2s.3p 3P1 - 2s.4s 3S1
716.5390     1.78e+08 O V            5.4   2s.3p 3P2 - 2s.4s 3S1
716.6480     9.17e+08 S IV           5.1   3s.3p2 2D3/2 - 3s.3p(3P).3d 2D3/2
716.8080     1.13e+08 S IV           5.1   3s.3p2 2D3/2 - 3s.3p(3P).3d 2D5/2
716.9950     4.26e+08 Fe IX          5.8   3s2 3p5 4s 3P1 - 3s2 3p5 4p 1S0
717.0510     1.47e+09 S IV           5.1   3s.3p2 2D5/2 - 3s.3p(3P).3d 2D5/2
718.4630     2.69e+10 O II           4.7   2s2.2p3 2D5/2 - 2s.2p4 2D3/2
718.5050     3.81e+11 O II           4.7   2s2.2p3 2D5/2 - 2s.2p4 2D5/2
718.5670     2.47e+11 O II           4.7   2s2.2p3 2D3/2 - 2s.2p4 2D3/2
718.6080     2.61e+10 O II           4.7   2s2.2p3 2D3/2 - 2s.2p4 2D5/2
720.5340     2.04e+08 Si VI          5.8   2s2.2p4(3P).3s 2P1/2 - 2s2.2p4(1D).3p 2P3/2
721.2560     1.31e+10 Fe VIII        5.8   3s2 3p6 4p 2P3/2 - 3s2 3p6 4d 2D5/2
722.4210     5.42e+08 Fe III         4.6   3s2 3p6 3d6 1I6 - 3s2 3p6 3d5 4p 1H5
723.7620     1.43e+09 Fe VIII        5.8   3s2 3p6 4p 2P3/2 - 3s2 3p6 4d 2D3/2
724.2890     7.23e+09 S III          4.8   3s2.3p2 3P0 - 3s.3p3 3S1
724.3520     1.28e+08 Fe III         4.4   3s2 3p6 3d6 5D4 - 3s2 3p6 3d5 4p 3G5
